Dataset,ACC,ACC std,TPR,TPR std,F1,F1 std,Time to execute
0,0.8571477457438617,0.003926908542890336,0.872842476576532,0.0061169894604282335,0.8642433645602345,0.0034986537753473688,310.36486077308655
0,0.5717169988878432,0.07733648304700029,0.5725349922221723,0.28324852233213266,0.5349607614234759,0.21362028031399521,48.239810943603516
0,0.5005389682607579,0.0044543485386133504,0.043216315054993445,0.003826466643343558,0.0826714677949594,0.007012233536854269,1241.2323279380798
0,0.9012747027119514,0.0024889173131618482,0.9344841319313959,0.002516997245058032,0.9079434430360894,0.0018867315622417581,1.7832248210906982
0,0.7952776114295491,0.002709670000147717,0.9758652832471446,0.0014336785218839517,0.8323950199627447,0.0020727398515671103,0.6971354484558105
0,0.7274873812986569,0.009836985259419359,0.5254424723149034,0.013774813456283935,0.667605941021608,0.012169433904052042,0.5445454120635986
0,0.9319873385233981,0.0018491581604730982,0.9384520210945292,0.002509685296100236,0.9349687739247414,0.0015190415481109044,114.17072606086731
1,0.9452786734223858,0.003802812978452375,0.9299201919532255,0.00683028126084689,0.9363040254619218,0.004967994073610281,2.833437204360962
1,0.7162597881160756,0.047040724595052846,0.7260453007697711,0.06715487253379859,0.6882727947967872,0.055352352492308826,5.251939535140991
1,0.8795025333947489,0.006872927665995214,0.7442524855423438,0.020992450135079197,0.8422095385949602,0.012014876799976976,18.30107021331787
1,0.9251957623215109,0.004809867335681866,0.866236412645042,0.016546343050119632,0.9091664358161664,0.007543844020200618,0.0688173770904541
1,0.8159373560571165,0.03259347808645956,0.6257299266474041,0.07672912587108041,0.743791049687823,0.05620757007331801,0.12765264511108398
1,0.5984339014279134,0.009495420526375035,0.9985130408106959,0.0010882177527172633,0.6827871691953649,0.00675822211865742,0.03989529609680176
1,0.95043758636573,0.0031992179372059303,0.9303594306775682,0.005516448543543737,0.9419956897135042,0.004134865772672183,3.7589478492736816
2,0.8941765480895916,0.00864853203575435,0.8561619635664439,0.03359877386896323,0.8741718152296828,0.018932530176058858,0.056848764419555664
2,0.8534876717485413,0.03638644990691149,0.8445353280501207,0.020789087263707623,0.8352394956153569,0.028992645337853534,0.2543203830718994
