Dataset,Classifier,ACC,TPR,F1,Time to execute
0,Naive Bayes,0.44305744,1,0.614038823,13.16080022
1,Nearest Neighbors (KNN),0.518794588,1,0.682225431,0.194481373
1,Hoeffding Tree,0.528917992,1,0.69099381,1.134961128
1,Random Forest,0.532504307,1,0.694166227,43.89958453
1,Naive Bayes,0.518794588,1,0.682225431,0.514654636
2,Nearest Neighbors (KNN),0.5,0.6,0.533333333,2.360225439
2,Hoeffding Tree,0.504697987,0.6,0.537444934,13.484936
2,Random Forest,0.5,0.6,0.533333333,150.2788656
2,Naive Bayes,0.500301508,0.6,0.533601071,6.607447386
0,Nearest Neighbors (KNN),0.44305744,1,0.614038823,2.54688406
0,Hoeffding Tree,0.498369752,1,0.663985485,25.15924668
0,Random Forest,0.461128747,1,0.631131888,316.8926027
0,Naive Bayes,0.44305744,1,0.614038823,13.13387585
1,Nearest Neighbors (KNN),0.518794588,1,0.682225431,0.190490007
1,Hoeffding Tree,0.528917992,1,0.69099381,1.148926258
1,Random Forest,0.538891778,1,0.699796667,39.61605501
1,Naive Bayes,0.518794588,1,0.682225431,0.503653288
2,Nearest Neighbors (KNN),0.5,0.6,0.533333333,2.381629467
2,Hoeffding Tree,0.504697987,0.6,0.537444934,13.56572127
2,Random Forest,0.5,0.6,0.533333333,146.578851
2,Naive Bayes,0.500301508,0.6,0.533601071,6.552477121
,,,,,1.583374703
